Sindraghast,$
SuicideFaction,$
HATCHISON,$
Ambiguouss - ⒷⓊⓈⓎ,&
Lmao Its BT,&
Natѕսmе,%
Not Vortexx - ⓐⓕⓚ,$
Camilas,&
Legacy Prof Kraze,¿
Firestatics,&
Mystifi,¿
party's over,+
LloydJara,@
Mega-Goalie - ⓒⓡⓘ,&
Robin Senpai,~
LANDOSTAYS,+
Iris(Eevee) - ⓢⓐⓓ,@
Attribute,@
Chibanyan,+
Phoenix Quizzy,%
Absol Sweep,+
TruBlaze,$
Neowulf,@
Renfur,%
Im Not Suspicious,+
nick151,+
Mega Charizаrd X,~
Ransei,~
Trainer Alain,~
Nymphomatic,%
Paul Century,+
TharjaIsBestWaifu,+
Chief Wally,¿
Cloyy,¿
Sundar :s,~
AT Extreme,¿
FuzzBot,@
Showdown Helper,~
Hypershaymin,%
Starfox .3.,@
Chromastone - ⒶⓌⒶⓎ,&
